کشتی,سرگشته 0.5
نه,به 0.07142857142857142
حکام,ظلمت 1.0
چو,زنبور 0.03333333333333333
به,صد 0.011904761904761904
ز,آسیا 0.017543859649122806
مرغ,سخنسرای 1.0
تبریز,بپرد 0.3333333333333333
تیز,چرخ 0.5
نخواهد,شد 1.0
کفن,گردد 1.0
ببستی,در 0.5
تو,می 0.02197802197802198
و,مبتلا 0.007194244604316547
روح,دررسی 0.16666666666666666
جز,چاشنی 0.16666666666666666
کشم,</s> 0.5
بی,گاه 0.045454545454545456
و,تانی 0.007194244604316547
مصر,آن 0.5
بیندیش,و 1.0
دل,را 0.034482758620689655
است,اندر 0.045454545454545456
گفتا,که 0.5
هین,که 0.6666666666666666
کی,دیده 0.14285714285714285
روی,تو 0.14285714285714285
من,به 0.015625
آرزوست,</s> 1.0
ای,بیچاره 0.023809523809523808
دور,شو 1.0
نام,کن 1.0
به,گدایی 0.011904761904761904
یقین,بشنو 0.3333333333333333
مسلمانان,مرا 1.0
تابنده,شدم 1.0
غم,دل 0.09090909090909091
بند,و 1.0
به,نظم 0.011904761904761904
سیر,است 0.5
برانگیخت,حافظ 1.0
روی,و 0.14285714285714285
بر,خوان 0.020833333333333332
شهر,تبریز 0.3333333333333333
شبی,سخنی 1.0
که,این 0.02142857142857143
ای,بی‏خبر 0.023809523809523808
حافظ,از 0.23529411764705882
<s>,او 0.003436426116838488
رهیدیم,</s> 1.0
تعلیم,بود 1.0
بزم,پنهانی 1.0
نگارا,</s> 1.0
وز,سرنبشت 0.125
نه,هجوی 0.07142857142857142
درانداز,مرا 1.0
کرد,همچون 0.09090909090909091
که,همره 0.007142857142857143
تو,ز 0.02197802197802198
آن,عطای 0.015151515151515152
مکن,</s> 0.3
که,کنی 0.007142857142857143
<s>,روزست 0.003436426116838488
جرعه,ای 1.0
درربودی,از 1.0
باشم,تا 1.0
مستتر,شود 1.0
ای,مسلمین 0.023809523809523808
<s>,مگو 0.003436426116838488
قبله,دعا 1.0
منصور,پنهان 0.5
وصل,خواهی 0.5
گوشه,میخانه 0.3333333333333333
پسین,باشد 1.0
ز,مه 0.017543859649122806
ز,من 0.03508771929824561
باش,چو 0.3333333333333333
مژده,به 0.3333333333333333
<s>,مگر 0.003436426116838488
هر,صبح 0.03225806451612903
ز,دانه 0.03508771929824561
کی,گردد 0.14285714285714285
ظاهرش,با 1.0
ای,شکنج 0.023809523809523808
رحمانم,آرزوست 1.0
تجار,بودی 1.0
قصاص,پیرهن 1.0
آرزو,و 1.0
آمد,</s> 0.29411764705882354
عادت,برق 1.0
ساغر,ایشان 1.0
بگماشتیم,</s> 1.0
داشتیم,خود 1.0
<s>,همگی 0.003436426116838488
صاحب,نظران 0.5
تو,و 0.01098901098901099
خرقه,باز 1.0
من,خواجه 0.015625
من,خاک 0.015625
<s>,روید 0.003436426116838488
شود,بر 0.05263157894736842
که,مقصود 0.007142857142857143
که,شه 0.007142857142857143
همی,پرسد 0.16666666666666666
خواجه,را 0.25
منبر,که 1.0
صاف,اگر 1.0
یا,خطا 0.14285714285714285
از,شیر 0.010752688172043012
رزم,و 1.0
کنون,عالم 0.25
ریش,باد 0.5
هوای,تو 1.0
کردن,</s> 1.0
گفتم,ای 0.3333333333333333
که,مست 0.007142857142857143
و,دلم 0.007194244604316547
جمله,حاضران 0.2
تیغ,سزاست 0.3333333333333333
معانی,گوی 1.0
برای,من 0.3333333333333333
دررسی,چو 1.0
چو,شمس 0.03333333333333333
که,به 0.02857142857142857
گشته,نهان 0.2
دارم,من 0.25
از,شکر 0.010752688172043012
اند,ای 0.3333333333333333
<s>,حافظ 0.006872852233676976
ام,آخر 0.125
و,خم 0.007194244604316547
من,دوستدار 0.015625
سیه,ز 0.3333333333333333
و,از 0.02877697841726619
کنعان,چرا 1.0
شیخ,با 1.0
که,با 0.014285714285714285
یاران,فارغند 0.25
ایشان,را 0.5
چرا,نباشد 0.1111111111111111
دارم,که 0.25
تو,پنداری 0.01098901098901099
کبابت,کو 1.0
که,بر 0.007142857142857143
شاه,بهار 0.25
به,زور 0.011904761904761904
بینم,ستم 0.5
را,بگویم 0.012345679012345678
شد,دو 0.045454545454545456
طال,بقا 1.0
نخسبی,ز 1.0
عقل,باتدبیر 0.125
سال,به 0.3333333333333333
تو,خود 0.01098901098901099
سآمت,</s> 1.0
کی,آن 0.14285714285714285
رنجوران,طبیب 1.0
را,ای 0.012345679012345678
شهر,بی 0.3333333333333333
می,نمودی 0.019230769230769232
طورم,</s> 1.0
پلیدیم,</s> 1.0
کند,در 0.047619047619047616
خانه,نیست 0.14285714285714285
آفتاب,می 0.3333333333333333
اعطینا,</s> 1.0
به,شامست 0.011904761904761904
درد,ندارد 0.1111111111111111
